Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
ASM301371v2	GCF_003013715.1	GCA_003013715.2	Candidozyma auris		B11220					Annotation submitted by Centers for Disease Control and Prevention	Complete Genome	2019-09-10		7
ASM305444v1	GCF_003054445.1	GCA_003054445.1	Pichia kudriavzevii		CBS573					Annotation submitted by University College Dublin	Complete Genome	2018-04-17		5
ASM3038466v1	GCF_030384665.1	GCA_030384665.1	Lodderomyces elongisporus		NRRL YB-4239					Annotation submitted by University of Illinois Urbana-Champaign	Complete Genome	2023-07-02		8
ASM2694v1	GCF_000026945.1	GCA_000026945.1	Candida dubliniensis CD36		CD36					Annotation submitted by Wellcome Trust Sanger Institute	Complete Genome	2009-02-16		8
ASM9098v2	GCF_000090985.2	GCA_000090985.2	Micromonas commoda		RCC299					Annotation submitted by Micromonas genome consortium	Complete Genome	2009-04-10		17
ASM2920330v1	GCF_029203305.1	GCA_029203305.1	Yamadazyma tenuis		ATCC 10573					Annotation submitted by University of Illinois Urbana-Champaign	Complete Genome	2023-03-14		7
Skud-IFO1802	GCF_947243775.1	GCA_947243775.1	Saccharomyces kudriavzevii IFO 1802		IFO1802					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	Complete Genome	2022-11-01		16
RsphJCM8202v2	GCA_051805495.1		Rhodotorula sphaerocarpa		JCM8202					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-29		17
Smik-IFO1815	GCF_947241705.1	GCA_947241705.1	Saccharomyces mikatae IFO 1815		IFO1815					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	Complete Genome	2022-11-01		16
ASM3642611v1	GCF_036426115.1	GCA_036426115.1	Kwoniella botswanensis		CBS 12716					Annotation submitted by Broad Institute	Complete Genome	2024-02-07		3
ASM164002v2	GCF_001640025.1	GCA_001640025.2	Sugiyamaella lignohabitans		CBS 10342					Annotation submitted by University of Natural Resources and Life Sciences	Complete Genome	2016-05-06		4
ASM2792174v1	GCF_027921745.1	GCA_027921745.1	Schizosaccharomyces osmophilus		CBS 15793					Annotation submitted by National Institute of Biological Sciences, Beijing China	Complete Genome	2023-01-20		3
ASM2954284v1	GCA_029542845.1		Malassezia nana		CBS 9557					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
ASM2954290v1	GCA_029542905.1		Malassezia arunalokei		CBS 13387					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
ASM2954278v1	GCF_029542785.1	GCA_029542785.1	Malassezia japonica		CBS 9431					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
ASM2954292v1	GCF_029542925.1	GCA_029542925.1	Malassezia vespertilionis		CBS 15041					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
ASM2944935v1	GCA_029449355.1		Emydomyces testavorans		16-2883					Annotation submitted by University of Illinois Urbana-Champaign	Complete Genome	2023-03-28		5
Remth1	GCF_042764415.1	GCA_042764415.1	Remersonia thermophila		ATCC 22073					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2024-10-10	JAZGUE01	7
ASM51258v3	GCF_000512585.2	GCA_000512585.3	Kwoniella bestiolae CBS 10118		CBS 10118					Annotation submitted by Broad Institute	Complete Genome	2024-06-21		8
ASM172019v2	GCF_001720195.1	GCA_001720195.2	Cryptococcus depauperatus CBS 7841		CBS 7841					Annotation submitted by Broad Institute	Complete Genome	2024-07-02		8
ASM51256v3	GCF_000512565.2	GCA_000512565.3	Kwoniella dejecticola CBS 10117		CBS 10117					Annotation submitted by Broad Institute	Complete Genome	2024-06-24		11
ASM3565835v1	GCF_035658355.1	GCA_035658355.1	Kwoniella shivajii					CBS 11374		Annotation submitted by Broad Institute	Complete Genome	2024-01-15		12
ASM3681041v1	GCF_036810415.1	GCA_036810415.1	Kwoniella dendrophila CBS 6074		CBS 6074					Annotation submitted by Broad Institute	Complete Genome	2024-07-02		11
ASM51260v3	GCF_000512605.2	GCA_000512605.3	Kwoniella pini CBS 10737		CBS 10737					Annotation submitted by Broad Institute	Complete Genome	2024-12-07		11
ASM862963v2	GCF_008629635.2	GCA_008629635.2	Kwoniella shandongensis		CBS 12478					Annotation submitted by Broad Institute	Complete Genome	2024-06-24		14
ASM154855v1	GCF_001548555.1	GCA_001548555.1	Eremothecium sinecaudum		ATCC 58844					Annotation submitted by Duke University	Complete Genome	2016-02-04		7
ASM1413389v1	GCF_014133895.1	GCA_014133895.1	Torulaspora globosa		CBS764					Annotation submitted by University College Dublin	Complete Genome	2020-08-10		8
jamPhyA2	GCA_976943335.1		Parajaminaea phylloscopi		CBS 14087					Annotation submitted by Comenius University, Faculty of Mathematics, Physics and Informatics	Complete Genome	2025-10-05		3
ASM2195029v1	GCA_021950295.1		Epichloe scottii		TT-2021a						Complete Genome	2022-02-04		7
symKanA1	GCA_976943355.1		Sympodiomycopsis kandeliae		CBS 11676					Annotation submitted by Comenius University, Faculty of Mathematics, Physics and Informatics	Complete Genome	2025-10-05		6
ASM5008455v1	GCA_050084555.1		Trichosporon austroamericanum		CBS 17435						Complete Genome	2025-05-01	JBIEOS01	8
ASM1107486v2	GCF_011074865.1	GCA_011074865.2	Brettanomyces nanus		CBS 1945					Annotation submitted by Australian Wine Research Institute	Complete Genome	2020-12-03		4
ASM3086435v1	GCF_030864355.1	GCA_030864355.1	Cutaneotrichosporon cavernicola		HIS019					Annotation submitted by Tokyo University of Agriculture	Complete Genome	2023-06-24		8
lodBeiA1	GCF_963989305.1	GCA_963989305.1	Lodderomyces beijingensis		CBS 14171					Annotation submitted by Comenius University, Faculty of Mathematics, Physics and Informatics	Complete Genome	2024-03-15		8
CBS18490_v3_manual	GCA_051101175.1		Candidozyma molenica		CBS18490						Complete Genome	2025-06-26		7
CCAP_211-61_H1.V1	GCA_052818915.1		Auxenochlorella symbiontica					CCAP 211/61			Complete Genome	2025-09-24	JBRASV01	12
ASM2034223v1	GCA_020342235.1		Saccharomycopsis phalluae		GUCC 202006						Complete Genome	2021-10-07		8
ASM2954298v1	GCA_029542985.1		Malassezia brasiliensis		CBS 14135					Annotation submitted by Duke University	Complete Genome	2023-04-03		7
RnylJCM10213v2	GCA_051805555.1		Rhodosporidiobolus nylandii		JCM10213					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-29		17
ASM2954294v1	GCA_029542945.1		Malassezia obtusa		CBS 7876					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
ASM2954280v1	GCA_029542805.1		Malassezia cuniculi		CBS 11721					Annotation submitted by Duke University	Complete Genome	2023-04-03		6
ASM2954276v1	GCA_029542765.1		Malassezia psittaci		CBS 14136					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
ASM2954296v1	GCA_029542965.1		Malassezia yamatoensis		CBS 9725					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
ASM2954288v1	GCA_029542885.1		Malassezia caprae		CBS 10434					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
SacJureiUoM1	GCA_900290405.1		Saccharomyces jurei							Annotation submitted by UOM-BCF	Complete Genome	2018-08-20		17
Sav_pha_PYCC9005_v1	GCA_051599415.1		Savitreella phatthalungensis		PYCC_9005					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-19		27
R64	GCF_000146045.2	GCA_000146045.2	Saccharomyces cerevisiae S288C		S288C					SGD R64-5-1	Complete Genome	2014-12-17		16
GRCz12tu	GCF_049306965.1	GCA_049306965.1	Danio rerio		Tuebingen		United States		male	GCF_049306965.1-RS_2025_04	Complete Genome	2025-04-04	JBMGRA01	25
AGIS1.0	GCF_034140825.1	GCA_034140825.1	Oryza sativa Japonica Group							GCF_034140825.1-RS_2024_06	Complete Genome	2023-12-06		12
WBcel235	GCF_000002985.6	GCA_000002985.3	Caenorhabditis elegans		Bristol N2					WormBase WS298	Complete Genome	2013-02-07		6
T2T-Sscrofa	GCA_000003025.7		Sus scrofa	Duroc				TJ Tabasco	female		Complete Genome	2025-12-01	AEMK03	20
T2T-MMU8v2.0	GCF_049350105.2	GCA_049350105.2	Macaca mulatta					MMU2019108-1	female	GCF_049350105.2-RS_2025_08	Complete Genome	2025-07-24	JBMGST02	22
GCA_000002765	GCF_000002765.6	GCA_000002765.3	Plasmodium falciparum 3D7					3D7		Annotation submitted by Plasmodium falciparum Genome Sequencing Consortium	Complete Genome	2016-04-07		14
ASM3070453v1	GCF_030704535.1	GCA_030704535.1	Vitis vinifera			Pinot Noir 40024				GCF_030704535.1-RS_2023_09	Complete Genome	2023-08-09		19
T2T-MFA8v1.1	GCF_037993035.2	GCA_037993035.2	Macaca fascicularis					582-1	female	GCF_037993035.2-RS_2025_03	Complete Genome	2024-09-18		22
GDT2T_hap1	GCF_042453785.1	GCA_042453785.1	Malus domestica							GCF_042453785.1-RS_2024_12	Complete Genome	2024-09-27		17
ASM1308505v1	GCF_013085055.1	GCA_013085055.1	Fusarium oxysporum Fo47		Fo47					Annotation submitted by Xi'an Jiaotong University	Complete Genome	2020-05-13		12
Bolivia_mono	GCA_051527215.1		Medicago sativa			Bolivia					Complete Genome	2025-07-24	JBJQOD01	8
IASCAAS_PekinDuck_T2T	GCF_047663525.1	GCA_047663525.1	Anas platyrhynchos	Pekin duck				ZD024472	female	GCF_047663525.1-RS_2025_03	Complete Genome	2025-02-12	JBLNIF01	41
DVS_A1.0	GCF_022201045.2	GCA_022201045.1	Citrus sinensis			Valencia sweet orange				NCBI Citrus sinensis Annotation Release 103	Complete Genome	2022-02-11	JAHMIS01	9
Lsat_Salinas_v15	GCF_002870075.5	GCA_002870075.5	Lactuca sativa			Salinas				GCF_002870075.5-RS_2026_02	Complete Genome	2025-12-23	NBSK03	9
ASM901741v1	GCF_009017415.1	GCA_009017415.1	Aspergillus flavus		NRRL 3357					Annotation submitted by University of California, Berkeley	Complete Genome	2019-10-13		8
ASM3437058v1	GCA_034370585.1		Fragaria x ananassa			Benihoppe					Complete Genome	2023-12-14		28
ASM176148v1	GCF_001761485.1	GCA_001761485.1	Yarrowia lipolytica		CLIB89(W29)					Annotation submitted by University of California, Irvine	Complete Genome	2016-10-12		6
